C1PR2014080422242453DFA5A84AB6E,920051002-247
C1PR2014080422243253DFA5B041486,920051002-168
C1PR2014080422250853DFA5D404F79,920071001-124
C1PR2014080422252453DFA5E4A5F95,920071001-33
C1PR2014080420581953DF917BBA791,920111001-2
C1PR2014080422211253DFA4E8C1039,920051002-204
C1PR2014080421354053DF9A3CDA5B0,920061011-23
C1PR2014080421352953DF9A31D8713,920071011-1
C1PR2014080421354853DF9A44EA7C5,920061011-57
C1PR2014080421355553DF9A4BD06E5,920061011-48
C1PR2014080421355553DF9A4B123D6,920051002-222
C1PR2014080421360753DF9A572FB65,920061011-12
C1PR2014080421360953DF9A596A087,920051002-178
C1PR2014080421355153DF9A4703548,920071011-2
C1PR2014080421361453DF9A5E77976,920061011-20
C1PR2014080421361953DF9A6337C2C,920051002-105
C1PR2014080421362053DF9A644F8D1,920061011-27
C1PR2014080421362853DF9A6C106BB,920051002-170
C1PR2014080421363253DF9A70AD19B,920051002-218
C1PR2014080421363553DF9A73C4407,920071011-7
C1PR2014080421363953DF9A778AC03,920051002-34
C1PR2014080421363453DF9A728752C,920061011-17
C1PR2014080421364253DF9A7A2B94C,920071011-3
C1PR2014080421365153DF9A832951F,920051002-86
C1PR2014080422163553DFA3D3AF699,920071001-32
C1PR2014080422163153DFA3CFACB15,920051002-189
C1PR2014080422162253DFA3C68E14B,920071001-205
C1PR2014080422161053DFA3BAA0173,920051002-179
C1PR2014080420491153DF8F5776499,920091001-23
C1PR2014080422155553DFA3AB6084A,920051002-56
C1PR2014080422152853DFA39006327,920071001-37
C1PR2014080422150853DFA37CE238D,920051002-54
C1PR2014080422145453DFA36E7FC98,920071001-104
C1PR2014080422142953DFA3558D51F,920051002-99
C1PR2014080422135653DFA3342CBCF,920051002-1
C1PR2014080422133653DFA3203BE71,920071001-153
C1PR2014080422024153DFA0916A1D2,920071001-108
C1PR2014080422012353DFA043AA509,920051002-95
C1PR2014080421593453DF9FD672B8F,920071001-8
C1PR2014080421591553DF9FC39DB24,920051002-184
C1PR2014080421594153DF9FDDB1D00,920071001-148
C1PR2014080421595053DF9FE69DD83,920071001-138
C1PR2014080421594453DF9FE008EC0,920051002-176
C1PR2014080421595553DF9FEBCE8FD,920051002-101
C1PR2014080422000453DF9FF483253,920051002-69
C1PR2014080422000753DF9FF733A4F,920071001-99
C1PR2014080422001253DF9FFC16B3D,920051002-115
C1PR2014080422001753DFA0017F1E3,920051002-147
C1PR2014080422002353DFA0075F0D1,920071001-213
C1PR2014080422002153DFA005E41BF,920051002-183
C1PR2014080422002953DFA00D1306B,920071001-137
C1PR2014080422003253DFA010EAF21,920071001-109
C1PR2014080422003553DFA0131E526,920051002-188
C1PR2014080422241553DFA59F48454,920051002-5
C1PR2014080422235853DFA58EB5490,920071001-75
C1PR2014080422222453DFA5303E839,920071001-193
C1PR2014080422220353DFA51BA11ED,920071001-200
C1PR2014080422215053DFA50E2E712,920071001-85
C1PR2014080422212653DFA4F6DCCB5,920071001-145
C1PR2014080422201653DFA4B077492,920051002-245
C1PR2014080422194853DFA494B228F,920051002-36
C1PR2014080422193253DFA484A2BA7,920051002-224
C1PR2014080422192053DFA478F11DA,920051002-43
C1PR2014080422190853DFA46C7B503,920051002-66
C1PR2014080422185753DFA461286A9,920051002-223
C1PR2014080422143753DFA35D6126B,920051002-121
C1PR2014080422141853DFA34A8A954,920071001-126
C1PR2014080422140753DFA33F509DB,920071001-106
C1PR2014080422135253DFA330587FB,920071001-111
C1PR2014080422132553DFA31581534,920071001-61
C1PR2014080422131453DFA30A4BC5B,920051002-220
C1PR2014080422131653DFA30CB11B0,920071001-133
C1PR2014080422102453DFA26006F01,920051002-180
C1PR2014080422095053DFA23EB9A2A,920071001-74
C1PR2014080422064653DFA1867350D,920071001-120
C1PR2014080422063753DFA17D73DB8,920051002-186
C1PR2014080422063253DFA178784DC,920051002-226
C1PR2014080422062553DFA1719E1D8,920051002-135
C1PR2014080422045153DFA1131ECDE,920071001-34
C1PR2014080421575553DF9F730F28D,920051002-103
C1PR2014080421573053DF9F5A4E891,920071001-204
C1PR2014080421565053DF9F321912F,920051002-165
C1PR2014080421561053DF9F0A53EEB,920071001-157
C1PR2014080421555953DF9EFF1714C,920071001-121
C1PR2014080420514553DF8FF12F7FD,920091001-21
C1PR2014080421554453DF9EF08A103,920071001-172
C1PR2014080421554453DF9EF0F1175,920051002-109
C1PR2014080421550953DF9ECDD721F,920051002-193
C1PR2014080421512953DF9DF1BC1EB,920051002-213
C1PR2014080421510553DF9DD947D19,920051002-91
C1PR2014080421505453DF9DCE248E3,920051002-12
C1PR2014080421503753DF9DBD75106,920051002-149
C1PR2014080420530453DF9040059F8,920091001-17
C1PR2014080421501853DF9DAAC84D8,920051002-159
C1PR2014080421500953DF9DA17F179,920071001-169
C1PR2014080421501253DF9DA48148B,920051002-148
C1PR2014080420531353DF90494C8DC,920091001-15
C1PR2014080421491353DF9D694026A,920071001-117
C1PR2014080421484553DF9D4DEA941,920071001-65
C1PR2014080421483553DF9D43430B7,920071001-194
C1PR2014080421483053DF9D3E2FC6E,920051002-140
C1PR2014080420531953DF904F8E3EB,920041005-50
C1PR2014080421482553DF9D39CD339,920071001-182
C1PR2014080420534953DF906D29B55,920091001-26
C1PR2014080420534153DF9065E3C07,920091001-11
C1PR2014080421475753DF9D1D906EB,920071001-147
C1PR2014080421470753DF9CEB45801,920051002-132
C1PR2014080421465553DF9CDF9AC1E,920051002-174
C1PR2014080421464653DF9CD643E34,920051002-11
C1PR2014080421462653DF9CC2D4506,920051002-131
C1PR2014080421450253DF9C6E5C15F,920061003-6
C1PR2014080421444653DF9C5E2B56A,920061003-9
C1PR2014080421440453DF9C344676C,920071001-30
C1PR2014080421441553DF9C3FDED01,920061002-15
C1PR2014080421435353DF9C29EF822,920051002-210
C1PR2014080421434353DF9C1FD4CA7,920071001-203
C1PR2014080421433753DF9C19A2205,920051002-160
C1PR2014080421434353DF9C1F5AD10,920061002-16
C1PR2014080421433653DF9C18963A9,920071001-152
C1PR2014080421401053DF9B4A64FC6,920071001-20
C1PR2014080421400553DF9B45C8FE3,920051002-152
C1PR2014080421400653DF9B465790F,920061006-1
C1PR2014080420562253DF910640E77,920041005-3
C1PR2014080420562653DF910A31613,920111001-14
C1PR2014080421400053DF9B4031787,920071001-72
C1PR2014080421395753DF9B3D64C7B,920061006-2
C1PR2014080420563353DF91115D24A,920111001-3
C1PR2014080421342853DF99F4CDBBF,920061011-66
C1PR2014080421341053DF99E269A19,920031002-136
C1PR2014080421340053DF99D873842,920031002-214
C1PR2014080420582753DF9183F108B,920101003-2
C1PR2014080420584453DF9194A294E,920101003-13
C1PR2014080421335453DF99D2F01EB,920071011-6
C1PR2014080420584453DF919407CFB,920041005-18
C1PR2014080421335953DF99D737E37,920051002-231
C1PR2014080421334953DF99CD17728,920051002-219
C1PR2014080421334153DF99C5E79FA,920061011-25
C1PR201409012118075404801F3FE3D,920061003-8
C1PR2014080421331553DF99AB9DDF7,920051002-166
C1PR2014080420585553DF919F3D044,920101003-8
C1PR2014080421325053DF9992B99C9,920071011-13
C1PR2014080421325753DF999959400,920061011-26
C1PR2014080421325153DF999350F25,920051002-150
C1PR2014080421324053DF99887D787,920031002-68
C1PR2014080421304453DF9914519DF,920031002-261
C1PR2014080421303553DF990BB74B4,920071014-23
C1PR2014080421302853DF990492CF6,920071014-22
C1PR2014080421302453DF9900B7260,920031002-204
C1PR2014080421301553DF98F715CF2,920071014-26
C1PR2014080421301053DF98F251FF2,920031002-137
C1PR2014080421300853DF98F03AD24,920071014-10
C1PR2014080421300253DF98EAC732A,920031002-60
C1PR2014080421294553DF98D9F382A,920051002-67
C1PR2014080421295453DF98E25103C,920031002-218
C1PR2014080421294553DF98D9EC332,920061011-41
C1PR2014080421293653DF98D0CD38A,920051002-90
C1PR2014080421054353DF9337F3266,920031002-91
C1PR2014080421003953DF920798129,920101003-14
C1PR2014080421011153DF922757E01,920101003-21
C1PR2014080421005253DF9214A924E,920041005-17
C1PR2014080421020053DF925832F96,920101003-12
C1PR2014080421040753DF92D7246F6,920111001-45
C1PR2014080421041253DF92DCCCAA3,920111001-13
C1PR2014080421041253DF92DC7C67B,920031002-180
C1PR2014080421040853DF92D85CDE0,920041005-6
C1PR2014080421042053DF92E49DCCE,920031002-167
C1PR2014080421062953DF936548CDD,920111001-44
C1PR2014080421061453DF9356833E1,920111001-30
C1PR2014080421055153DF933F92B87,920031002-140
C1PR2014080421054453DF93389F14C,920111001-28
C1PR2014080421055353DF934131EFB,920101001-27
C1PR2014080421061053DF93523ADA8,920111001-46
C1PR2014080421060453DF934CEA481,920111001-48
C1PR2014080421060053DF934830775,920031002-216
C1PR2014080421070953DF938D63831,920101001-64
C1PR2014080421281053DF987A11CEF,920071014-11
C1PR2014080421073453DF93A646EE2,920101001-13
C1PR2014083015513254019094977E5,550-004-1
C1PR2014080421073953DF93AB515B0,920101001-18
C1PR2014080421274653DF9862E9310,920071014-32
C1PR2014080421275353DF9869B0715,920031002-231
C1PR2014080421274553DF98610F1C9,920061011-63
C1PR2014080421074153DF93ADF2D45,920031002-4
C1PR2014080421273753DF985911D88,920061011-31
C1PR2014080421272853DF98501AFE7,920031002-240
C1PR2014080421273153DF98535B864,920061011-32
C1PR2014080421074453DF93B0B7778,920101001-3
C1PR2014080421271953DF9847536FC,920071014-43
C1PR2014080421272553DF984D40CF7,920051002-89
C1PR2014080421075853DF93BE8624D,920031002-112
C1PR2014080421080253DF93C2BFC67,920101001-67
C1PR2014080421270253DF9836451ED,920071014-34
C1PR2014080421082753DF93DB378D5,920061012-6
C1PR2014080421265053DF982A87EC8,920071014-33
C1PR2014080421083553DF93E3E2352,920061012-8
C1PR2014080421265853DF983202F79,920031002-184
C1PR2014080421264753DF982776ACE,920061011-1
C1PR2014080421084353DF93EBC9E3E,920061012-9
C1PR2014080421083953DF93E744E39,920101001-32
C1PR2014080421084953DF93F1F1797,920101001-89
C1PR2014080421264453DF982425915,920071014-19
C1PR2014080421085153DF93F3C7ECB,920061012-3
C1PR2014080421263953DF981F6E7AB,920061011-40
C1PR2014080421263953DF981F80376,920051004-7
C1PR2014080421263953DF981F4DD6D,920031002-227
C1PR2014080421090053DF93FC44B3B,920061012-5
C1PR2014080421263053DF98163E9D1,920031002-241
C1PR2014080421090653DF940298084,920061012-17
C1PR2014080421263053DF9816943CB,920061011-55
C1PR2014080421261953DF980BD2E38,920071014-13
